German,Spanish
"neu", "nuevo"
"Deutsch", "alemán"
"nächst", "próximo, siguiente"
"detailliert", "detallada, minuciosa"
"wesentlich", "fundamental, esencial"
"lang", "largo"
"verschieden", "distinto"
"verfügbar", "disponible"
"ganz", "totalmente, completamente"
"nah", "cerca"
"zuständig", "responsable"
"stark", "fuerte"
"lang", "largo"
"höher", "más alto"
"alt", "viejo"
"komplett", "completo"
"offen", "abierto"
"weitere", "adicional, otro, otra"
"Modern", "Moderno"
"gemeinsam", "común"
"eigen", "intrínseco, peculiar, propio"
"persönlich", "personalmente"
"technisch", "técnico"
"vergangen", "pasado"
"zweite", "segundo, 2º"
"wichtig", "importante"
"einzig", "único"
"gleich", "igual"
"ehemalig", "anterior, de antes, ex, antiguo"
"kostenlos", "gratis"
"normal", "normal"
