German;Spanish
etw. lesen;leer algo
etw. sammeln;recoger algo
die Reise, die Reisen;el viaje, los viajes
die Fahrkarte, die Fahrkarten;el billete, los billetes
bei etw. mitmachen;participar en algo
das Handys, die Handys;el móvil, los moviles
das Spiel, die Spiele;el juego, los juegos
tanzen;bailar
abfahren;partir
ankommen;llegar
arbeiten;trabajar
geradeaus;derecho
fernsehen;ver la televisión
die Uhr, die Uhren;el reloj, los relojes
noch einmal;otra vez
etw. wiederholen;repetir algo
jmdn. nach etw. fragen;preguntar algo a alguien
jmdn./etw. fotografieren;tomar fotos de algo/alguien
etw. schicken;mandar algo
die Post;el correo
die E-Mail, die E-Mails;el correo electrónico, los correos electrónicos
das Problem, die Probleme;el problema, los problemas
schnell;rápido
jmdm. etw. sagen;decir algo a alguien
die Tasche, die Taschen;la bolsa, las bolsas
immer;siempre
genau;exactamente
gehen;ir
der Park, die Parks;el parque, los parques
das Kino, die Kinos;el cine, los cines
