English;Spanish
Chinese; chino
French; francés
European; europeo
international; internacional
North American; norteamericano
Italian; italiano
Cuban; cubano
British; británico
Mexican; mexicano
American (US); estadounidense
American, from the Americas; americano
Italy; Italia
China; China
Spain; España
Mexico; México
France; Francia
foreign, abroad; extranjero
England; Inglaterra
Paris; París
Rome; Roma
Argentina; Argentina
Europe; Europa
America, the Americas; América
Argentinian; argentino
Germany; Alemania
German; alemán
