German,Vietnamese
run lập cập; shivering
bó tay; give up
trúng gió; sick
leo cây; stood up
bẩn tính; mean
nổ; to explode, to brag
làm ăn; to do business
chặt chém; overprice
dở hơi; screwball
cơm bụi; meal taken from an inn
viêm màng túi; broke (without money)
dài cổ; so long
tây ba lô; western backpacker
mất sổ gạo; sadness (lit: lost rice book)
thức trắng đêm; stay up all night
nhận gạch; criticism
cắt cổ; exorbitant
ăn cháo đá bát; treacherous
bóc lịch; to go to jail
có cửa; to have a chance
cứng đầu; stubborness
qua đời; to pass away
