German,Spanish
kochen; cocinar
arbeiten; trabajar
wohnen; vivir en un lugar (habitar)
zumachen; cerrar
passieren; ocurrir, pasar
anmachen; encender algo
stehen; estar de pie
aufstehen; levantarse
wissen; saber
gehen; ir
fahren; conducir
finden; encontrar
ändern (sich); cambiar
erlauben; permitir
gefallen; gustar
kommen; venir
scheinen; brillar, parecer
hören; escuchar
sammeln; coleccionar, reunir/recopilar algo
benutzen; utilizar
schwimmen; nadar
funktionieren; funcionar
geben; dar
stellen; colocar, poner
warten; esperar
suchen; buscar
treffen; encontrar, encontrarse con alguien, quedar con alguien
hoffen; esperar
ersetzen; sustituir
verkaufen; vender
eintreffen; acabar de llegar
nehmen; tomar
übernehmen; hacerse cargo de, encargarse de
zeigen; enseñar, mostrar
meinen; querer decir, opinar, estimar
möchten; desear
schließen; cerrar
bestellen; pedir,ordenar/reservar
erkennen; reconocer algo/alguien, percibir algo
prüfen; probar, chequear
liegen; estar situado, acostado
halten; parar, aguantar
abonnieren; subscribir
spazieren; pasear
bleiben; permanecer, quedarse
steigen; subir
erweitern; alargar, ampliar
glauben; creer
fehlen; faltar, estar ausente
singen; cantar
kosten; costar, probar
stehlen; Hurtar, robar
akzeptieren; aceptar
aussteigen; bajarse
